구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승차총승객수,하차총승객수
강남,2019-09-12,21.6,2,1.1,2호선,강남,39515,38711
강남,2019-09-13,23.1,0,0.8,2호선,강남,22421,24964
강남,2019-09-14,22.7,1,0.7,2호선,강남,42125,45907
강남,2019-09-15,24.2,0,0.7,2호선,강남,42195,42650
강남,2019-09-16,24.6,0,0.9,2호선,강남,101698,103739
강남,2019-09-17,23.3,0,0.7,2호선,강남,107669,109671
강남,2019-09-18,21.9,0,1.4,2호선,강남,109832,111467
강남,2019-09-19,20.3,0,1,2호선,강남,110222,112499
강남,2019-09-20,20.4,0,0.8,2호선,강남,120247,127010
강남,2019-09-21,20,0,1,2호선,강남,94457,101968
강남,2019-09-22,18.4,3.5,1.3,2호선,강남,53098,52280
강남,2019-09-23,20.1,0,1.1,2호선,강남,107200,108728
강남,2019-09-24,19.8,0,1.1,2호선,강남,109484,111336
강남,2019-09-25,20.7,0,0.7,2호선,강남,110207,112092
강남,2019-09-26,22.5,0,0.7,2호선,강남,110020,111748
강남,2019-09-27,22.7,0,0.5,2호선,강남,118564,124394
강남,2019-09-28,23.8,0,0.6,2호선,강남,97070,102883
강남,2019-09-29,22.2,0,0.7,2호선,강남,54339,54133
강남,2019-09-30,22.2,0,0.6,2호선,강남,103422,105133
강남,2019-10-01,22.9,0,0.7,2호선,강남,104929,106554
강남,2019-10-02,22.2,24,0.9,2호선,강남,114390,119505
강남,2019-10-03,22.5,18,1,2호선,강남,58947,59646
강남,2019-10-04,22.6,0,1.1,2호선,강남,112622,118112
강남,2019-10-05,19.8,0,1.4,2호선,강남,98663,97938
강남,2019-10-06,18.6,0,1.2,2호선,강남,52157,51004
강남,2019-10-07,15.2,28,0.8,2호선,강남,101962,104023
강남,2019-10-08,15.8,0,1.4,2호선,강남,112807,119972
강남,2019-10-09,14.1,0,0.9,2호선,강남,58479,58916
강남,2019-10-10,15,0,0.5,2호선,강남,106878,108525
강남,2019-10-11,19,0,0.9,2호선,강남,114590,120906
강남,2019-10-12,18.3,0,1.4,2호선,강남,94627,97860
강남,2019-10-13,17.2,0,0.7,2호선,강남,55430,55225
강남,2019-10-14,15.1,0,1.4,2호선,강남,103131,104642
강남,2019-10-15,14.6,0,0.8,2호선,강남,106724,108376
강남,2019-10-16,15,0,0.7,2호선,강남,105763,107204
강남,2019-10-17,15.2,0,0.7,2호선,강남,106932,108373
강남,2019-10-18,17.2,0,0.8,2호선,강남,114284,120482
강남,2019-10-19,16.9,0,0.8,2호선,강남,84784,90715
강남,2019-10-20,15.9,0,0.7,2호선,강남,51930,51248
강남,2019-10-21,16.3,0,0.4,2호선,강남,103389,104226
